AAB;Average At Best
AYS;Are You Serious?
AYSOS;Are You Stupid Or Something?
AYT;Are You There?
AYW;As You Wish
AZN;Asian
B&G;Blow and Go
B&M;Bricks and Mortar
B-DAY;Birthday
B/C;Because
B2W;Back To Work
B4;Before
B4MV;Bullet For My Valentine 
B4N;Bye For Now
B4U;Before you
BA;Bad Ass
BA-DONKA-DONK;Pleasantly curvy woman's bottom
BAAS;Boss
BAB;Bad Ass Bitch
BADMAN;Gangster
BADONK;Large female bottom
BAE;Baby
BAF;Bored as fuck
BAG;Get
BAGL;Bust A Gut Laughing
BAI;Bye
BAIL;Leave
BAIRN;Child, baby
BAK;Back At Keyboard
BAKA;Fool
BALLER;Successful ball player
BAMA;Person lacking style
BAMF;Bad Ass Mother Fucker
BAMN;By Any Means Necessary
BANGING;Very beautiful
BANJAX;Break
BAO;Be Aware Of
BAREBACK;Unprotected Sex
BASER;Drug user
BATCH;Bitch
BATE;Obvious
BATTY;Gay
BATTYBOY;Homosexual, gay person
BAU;Business As Usual
BAWS;Testicles
BAY;Baby
BBAM;Be Back After Meal
BBB;Bugging Beyond Belief
BBBJ;Bare Back Blow Job (no condom)
BBBJTC;Bare Back Blow Job To Completion
BBBW;Big Beautiful Black Woman
BBE;Babe
BBEG;Big Bad Evil Guy
BBF;Butt Buddy Forever
BBFL;Best Buds For Life
BBFN;Bye Bye For Now
BBFS;Bare Back Full Service
BBG;Best Be Going
BBIAB;Be Back In A Bit
BBIAF;Be Back In A Few
BBIAM;Be Back In A Minute
BBIAS;Be Back In A Sec
BBJ;Bare Blow Job
BBL;Be Back Later
BBML;Be Back Much Later
BBN;Be Back Never
BBS;Be Back Soon
BBT;Be Back Tomorrow
BBW;Big Beautiful Woman
BBWL;Be Back Way Later
BBY;Baby
BBZ;Babes
BC;Before Christ
BCBW;Bow Chica Bow Wow
BCC;Blind Carbon Copy
BCD;Behind Closed Doors
BCNU;Be Seeing You
BCOS;Because
BCP;Birth Control Pill
BD;Big Deal
BDOML;Best Day Of My Life
BDONG;Bad and Wrong
BDSM;Bondage and Discipline, Sadism and Masochism
BEATCH;Bitch
BEAVER;Vagina
BECKY;Oral sex, blow job
BEEZY;Bitch
BELLEND;Head of the penis
BELLIG;Belligerant
BER;Beyond Economical Repair
BESITOS;Little kisses 
BESO;Kiss 
BESOS;Kisses 
BESTIE;Best Friend
BESTY;Best Friend
BETA;Pre-release version
BETCH;Bitch
BEWBS;Boobs
BF2;Battlefield 2 (game)
BF4L;Best Friends For Life
BFA;Best Friends Always
BFAM;Brother From Another Mother
BFB;Better From Behind
BFC;Big fucking can
BFD;Big fucking deal
BFF;Best Friends Forever
BFF4L;Best Friend Forever For Life
BFFAE;Best Friends Forever And Ever
BFFE;Best Friends Forever
BFFFL;Best Friend Forever For Life
BFFL;Best Friend For Life
BFFLE;Best Friends For Like Ever
BFFLTDDUP;Best Friends For Life Till Death Do Us Part
BFFN;Best Friend For Now
BFFS;Best Friends For Sex
BFFWB;Best Friend Forever With Benefits
BFH;Bitch From Hell
BFK;Big Fat Kiss
BFMV;Bullet For My Valentine (band)
BFN;Bye For Now
BFS;Bull fucking shit
BFTP;Blast From The Past
BFU;butt fucking ugly
BFUT;Best Friends Until Tomorrow
BFWB;Best Friend With Benefits
BGD;Black Gangster Disciples
BGM;Background Music
BGT;Britain's Got Talent (TV show)
BHD;Bad Hair Day
BHM;Big Handsome Man
BHO;Barak Hussein Obama
BHUM;fit
BIA;Bitch
BIAB;Back In A Bit
BIACH;Bitch
BIATCH;Bitch
BICBW;But I Could Be Wrong
BICH;Bitch
BIDDIE;Good looking girl
BIEH;Best I Ever Had
BIF;Butt In Front
BIFF;Best Friend, BFF
BIFFL;Best Internet Friend For Life
BIFFLE;same as BFFL
BIG TIME;More than usual
BIG UP;Expression of respect
BIH;Bitch
BIL;Brother In-Law
BIM;Barbados
BINT;bitch
BION;Believe It Or Not
BIOYA;Blow It Out Your Ass
BIS;Best In Slot
BISH;Bitch
BISLY;But I Still Love You
BISOU;Kiss
BITTIE;Girl
BITTIES;Breasts
BIWM;Bisexual White Male
BIZ;Business
BJ;Blow Job
BJTC;Blow Job To Completion
BK;Burger King
BKA;Better Known As
BLAH;Nothing to say
BLATES;Blatently
BLAZE;Smoke Weed
BLAZED;Stoned
BLAZING;Smoking weed
BLD;Bad Life Decision
BLEM;High on marijuana
BLG;Boys Like Girls (band)
BLICK;A very black person
BLIND;In love
BLING;Flashy Jewelry
BLINK;Blink 182 (band)
BLK;Black
BLNT;Better Luck Next Time
BLOG;weblog
BLOKE;guy
BLOL;Big lol
BLOOPER;mistake
BLOTTO;Drunk
BLOWN;High
BLS;blown like shit
BLT;Bacon, Lettuce and Tomato sandwich
BLTN;Better Late Than Never
BLUD;mate
BLUF;Bottom Line Up Front
BLUNT;Marijuana cigar
BM4L;Best Mates For Life
BMA;Bite My Ass
BMB;Bebo Me Back
BMBO;Blow My Brains Out
BME;Body Modification Ezine
BMFE;Best Mates Forever
BMFL;Best Mates For Life
BMG;Be My Guest
BMI;Body Mass Index
BML;Bless My Life
BMOC;Big Man On Campus
BMP;bitmap
BMTH;Bring Me The Horizon 
BMTTVE;Best Mates 'Til The Very End
BMUS;Beam me up, Scotty
BNF;Big Name Fan
BNI;Batteries Not Included
BNIB;Brand New In Box
BNP;British National Party
BNWOT;Brand New Without Tags
BNWT;Brand New With Tags
BO;Body Odour
BOB;vibrator
BOBBA;Replacement swear word
BOBFOC;Body Off Baywatch, Face Off Crimewatch
BOED;Book of Exalted Deeds 
BOF;Whatever
BOFFIN;Technical expert
BOFH;Bastard Operator From Hell
BOG;Toilet
BOGAN;Poorly educated, vulgar person 
BOGO;Buy One Get One
BOGOF;Buy One Get One Free
BOGSAT;Bunch Of Guys Sitting Around Talking
BOH;Gunshot sound
BOHICA;Bend Over Here It Comes Again
BOI;Boy
BOL;Best Of Luck
BOLO;Be On The Lookout
BOLTOP;Better On Lips Than On Paper
BOM;friend
BONE;Have sex with
BONER;Erection
BONG;Water pipe 
BONKERS;Crazy
BONZA;brilliant
BOOB;breast
BOOGER;Dried nose mucus
BOOHOO;Crying
BOOMM;Bored Out Of My Mind
BOOMTING;Good looking girl
BOOTILICIOUS;Having a very tasty ass
BOOTY;Backside, bottom
BOOTY CALL;Call for sex
BOOZE;Alcoholic beverages
BOP;Give head
BOS;Boyfriend Over Shoulder
BOSH;Slut
BOT;Back On Topic
BOTDF;Blood On The Dance Floor (band)
BOTTS;Back On To The Subject
BOUL;Bull
BOUT;About
BOWS;Elbows
BOXORZ;Boxers
BPS;Bits/Bytes Per Second
BQ;Be Quiet
BR;Best Regards
BRAT;Annoying, spoilt child
BRB;Be Right Back
BRE;Sexy girl
BREDRIN;Friend
BREDRINS;close friends
BREH;brothers
BRGDS;Best Regards
BRH;Be Right Here
BRITCHES;pants
BRO;brother
BROAD;Woman
BROCHACHO;brother
BROLLY;Umbrella
BROMO;gay brother
BROSKI;brother
BRT;Be Right There
BRU;brother
BRUDDA;Brother
BRUH BRUH;brother
BRUK;Broken
BRUV;Mate
BRUVA;Brother
BS;bull shit
BSB;Backstreet Boys
BSC;Bachelor of Science
BSER;Back Stabber
BSF;But Seriously Folks
BSG;Battlestar Galactica 
BSL;British Sign Language
BSNS;Business
BSOD;Blue Screen Of Death 
BSOF;Big Smile On Face
BSOFN;Big Smile On Face Now
BST;But Seriously Though
BSU;Boring Status Update
BTA;But Then Again....
BTAIM;Be That As It May
BTB;By The By
BTD;Bored To Death
BTDT;Been There Done That
BTDTGTTSAWIO;Been There Done That Got The T-shirt And Wore It Out
BTE;Best Time Ever
BTFO;back the fuck off
BTFU;boiler the fucku p
BTFW;by the fucking way
BTGOG;By The Grace Of God
BTHO;Beat The Hell Outta
BTHOM;Beats The Hell Outta Me!
BTL;Between The Lines
BTM;Be There Moment
BTR;Better
BTS;Be There Soon
BTSOOM;Beat the stufing out of me
BTT;Bump To Top 
BTTF;Back To The Future
BTTT;Back To The Top
BTU;British Thermal Unit
BTW;By The Way
BTWITIAILWU;By The Way, I Think I Am In Love With You
BTWITIAILWY;By The Way, I Think I Am In Love With You
BTY;Back To You
BU;Backup
BU2M;Been Up To Much?
BUCKS;dollars
BUD;Marijuana
BUDDY;Friend
BUFF;Good Looking
BUFU;butt fuck
BUG;bother
BUGLE;Cocaine
BULL;bull shit
BUMMED;dissapointed
BUMMER;Bad Luck
BUMP;Bring Up My Post
burd;girlfriend
BURK;idiot
BURMA;Be Upstairs Ready My Angel
BURR;Cold
BUSKING;Playing music in public for money
BUSTY;Large breasted
BUTCH;Masculine
BUTT HURT;offended
BUTT PIRATE;Man who likes anal sex with another man
BUTTER FACE;Girl who is good looking except for her face
BUTTERS;Ugly
BUTTERZ;Ugly
BUZZED;Tipsy
BV;Bad Vibe
BVB;Black Veil Brides
BWC;But Who Cares?
BWL;Bursting With Laughter
BWT;by the way
BWTH;But What The Hell
BYAM;Between You And Me
BYKI;Before You Know It
BYO;Bring Your Own
BYOB;Bring your own Beer
BYTM;Better You Than Me
C&C;Command and Conquer
C&P;Copy & Paste
C'MON;Come On
C/D;Confirm/Deny
C1;Affirmative
C7AY;Gay
C:;Very happy
CAB;Can't Be Assed
CABRON;Bastard
CACHAI;Do you understand?
CACHE;Store for temporary computer files
CACK;Shit
CAD;Computer Aided Design
CADDY;Cadillac
CAKEY;Big bottomed
CAKING;Flirting
CAPISH;Understood?
CAZ;Crazy in a nice way
CB;Cock Block
CBA;Can't Be Arsed
CBB;Can't Be Bothered
CBBC;Children's BBC
CBC;Canadian Broadcasting Corporation
CBF;Can't Be Fucked
CBFA;Can't Be Fucking Arsed
CBFB;Can't Be Fucking Bothered
CBJ;Covered Blow Job
CBS;Can't Be Stuffed
CBT;Cognitive Behavioural Therapy
CCC;Coricidin Cough & Cold
CCD;Cock Craving Disorder
CCL;Couldn't Care Less
CCNA;Cisco Certified Network Associate
CCTV;Closed-Circuit Television
CDFU;Cracking Da Fuck Up
CDN;Canadian
CDP;Calm Down Please
CEEB;Can't Be Bothered
CEEBS;Can't Be Bothered
CEEBZ;Can't Be Bothered
CELL;Cellphone
CEPT;Except
CF;Cluster Fuck
CFL;Canadian Football League
CFM;Come Fuck Me
CFN;Ciao For Now
CFNM;Clothed Female Naked Male
CFO;Chief Financial Officer
CFS;Covered Full Service
CFV;Call For Votes
CG;Computer Graphics
CHA;Yes
CHADROOL;Stupid person
CHAV;poorly educated and vulgar youth
CHAW;Chewing tobacco
CHEA;Yeah
CHEAP SKATE;Mean person
CHEDDA;Money
CHEERIO;Goodbye
CHEESED;Pissed off
CHEESY;Corny
CHEEZ;Cheese
CHESTER;pedophile
CHILAXING;Chilling and relaxing
CHILLAX;Chill and relax
CHINK;Offensive term for an Asian or Chinese person
CHINWAG;Chat
CHIO;Sexy, good looking, girl
CHIPOTLE;Mexican-style restaurant
CHIRPSE;Flirt
CHIZ;swindle
CHIZZ;Chill out
CHODE;Short, fat penis
CHOLO;Mexican Gangster
CHOO;You
CHOOB;High level player who acts like a noob
CHOONG;Good looking
CHOOT;Vagina
CHOPPER;AK-47 assault rifle
CHU;You
CHUCK;Chill as Fuck
CHUFF;Vagina
CHUNDER;Be sick
CHUNG;Good looking
CHUT;Vagina
CIAO;bye
CID;LSD
CIF;Cum In Face
CIG;Cigarette
CIGGY;Cigarette
CIHY;Can I Help You?
CIM;Cum in Mouth
CINI;Cinema
CINT;vagina
CIO;Check It Out
CITA;Caught In The Act
CK;CRIP Killa
CL;Chain Letter
CLAPPED;Shot
CLARET;Blood
CLB;Creepy Little Bastard
CLEO;Chief Law Enforcement Officer
CLI;Command Line Interface
CLIQUE;Group of friends
CLIT;Clitoris
CLUBBING;Visiting nightclubs
CLUTCH;Perform under pressure
CM;Call Me
CMAR;Cry Me A River
CMB;Call Me Back
CMD;Command
CMEO;Crying My Eyes Out
CMI;Count Me In
CMIIW;Correct Me If I'm wrong.
CML;Call Me Later
CMNF;Clothed Male Naked Female
CMNT;Comment
CMS;Content Management System
CMT;Comment
CMU;Cracks Me Up
COA;Certificate Of Authenticity
COB;Close Of Business
COCK;Penis
COCK UP;mistake
COD;call of duty
COD4;call of duty 4
COED;Coeducational
COF;Cum On Face
COG;coalition of gears
COL;Crying Out Loud
CONDO;Apartment
CONGRATS;Congratulations
CONVO;Conversation
COO;awesome
COOCHI;Vagina
COOLIN;same as CHILLing
COOTC;Come Out Of The Closet
COOTER;Vagina
CORNY;uncool
COS;Because
COSPLAY;Costume Play
COTCHING;relaxing
COUGAR;Older woman looking for a younger man
COUGER;Older woman looking for a younger man
COURSE;of course
COYB;Come On You Blues
COYS;Come On You Spurs
COZ;because
CP;Child Porn
CPA;Certified Piece of Ass
CPM;Cost Per Thousand
CPT;Colored People's Time
CPU;Central Processing Unit
CRABS;Pubic lice
CRAFT;Can't Remember A Fucking Thing
CRAP;Shit
CRAPPER;Toilet
CRAY CRAY;Really crazy
CRBT;Crying Real Big Tears
CREASING;Laughing
CREEP;weird person
CREPS;Trainers
CRIB;House
CRIMBO;Christmas
CRM;Customer Relationship Management
CROW;Marijuana
CRS;Can't remember shit
CRUNK;Crazy and drunk
CRUSTY;Dirty, unwashed person
CS;Counter-Strike
CSA;Cheap Shot Artist
CSB;Cool Story Bro 
CSI;Crime Scene Investigation 
CSL;Can't stop laughing
CSP;Casual Sex Partner
CST;Central Standard Time
CTC;call the cell
CTF;Capture The Flag
CTFD;calm the fuck down
CTFO;chill the fuck out
CTM;Chuckling To Myself
CTN;Can't Talk Now
CTO;Check This Out
CTRL;Control-key
CTRN;Can not Talk Right now
CTS;Chuckles To Self
CTSO;Cut That Shit Out
CU;See You
CUCKOO;mad
CUDDY;friend
CUFF;overprotect
CUIAB;See You In A Bit
CUL;See You Later
CUL8ER;See You Later
CUL8R;See You Later
CUOL;See You On Line
CUS;because
CUTIE;Cute, attractive person
CUTY;Cute, attractive person
CUZ;Because
CUZZ;friend
CUZZO;Friend
CV;resume
CWOT;Complete Waste Of Time
CWTCU;Can't Wait To See You
CWTSY;Can't Wait To See You
CWYL;Chat With You Later
CYA;See Ya
CYB;Count Your Blessings
CYBI;Can You Believe It?
CYE;Check Your Email
CYL;Catch You Later
CYL8R;see ya later
CYM;Check Your Mail
CYO;See You Online
CYT;See You Tomorrow
CZ;Condition Zero 
D;Dick
D&D;Dungeons and Dragons
D&M;Deep and Meaningful
D'S;Dayton rims
D/C;Disconnected
D/S;Dominant/submissive
D00D;Dude
D2M;Dead to Me
D8;Date
DADA;Defence Against the Dark Arts
DADS;Day After Drinking Shots
DADT;Don't Ask, Don't Tell
DAE;Does Anybody Else
DAF;Drunk As Fuck
DAFUQ;same as WTF
DAM;Don't Ask Me
DAMHIK;Don't Ask Me How I Know
DAMHIKT;Don't Ask Me How I Know This
DANG;Damn
DAQ;Don't Ask Questions
DARL;Darling
DARN;Damn
DASF;Drunk as fuck
DAT;That
DATY;oral sex
DAU;Dumb Ass User
DAWG;Close Friend
DAYUM;Damn
DB;Douche Bag
DBAB;Don't Be A Bitch
DBNT;Don't Bother Next Time
DBR;Damaged Beyond Repair
DBZ;Dragon Ball Z
DC;Don't Care
DCF;Department of Children and Families
DCOI;Don't Count On It
DDB;Deaf, Dumb, Blind
DDF;Drug and Disease Free
DDG;Drop Dead Gorgeous
DDI;Don't Do It
DDMMYY;Day Month Year
DDR;Dance Dance Revolution
DDSOS;Different Day, Same Old Shitt
DDSS;Different Day, Same Shit
DDT;Don't Do That
DE;The
DEA;Drug Enforcement Administration
DEB;Don't Even Bother
DEC;Decent
DEECE;decent
DEETS;Details
DEEZ;These
DEF;excellent
DEFFO;Definitely
DEFO;Definitely
DEGT;Don't Even Go There
DELISH;Delicious
DEM;Them
DEPT;Department
DERB;blow job
DERE;There
DERO;derelict
DEROB;Very bored
DET;Don't Even Trip
DETAI;Don't Even Think About It
DEUCE;shit
DEUCES;Peace
DEVO;Devastated
DEY;They
DEZZY;Designated Gay
DFC;don't fucking care
DFE;Dead Fish Experience
DFK;Deep French Kissing
DFKDFC;Don't Fucking Know, Don't Fucking Care
DFL;Dead Fuckng Last
DFMO;Dance Floor Make Out
DFS;Dating For Sport
DFTBA;Don't Forget To Be Awesome
DFTT;Don't Feed The Troll
DFW;Down For Whatever
DFWM;Don't fuck with me
DG;Don't Go
DGAF;Don't give a fuck
DGF;Don't Give a Fuck
DGMTS;Don't Give Me That Shit
DGOT;Don't Go Over There
DGT;Don't Go There
DGTWM;Don't Go There With Me
DH;Darling Husband
DHAFC;Don't Have A Fucking Clue
DHV;Demonstration of Higher Value
DHYB;Don't Hold Your Breath
DIAF;Die In A Fire
DIAO;hip
DIC;Do I Care?
DICKHEAD;Idiot
DIGS;Home, lodgings
DIKU;Do I Know You?
DIKY;Do I Know You?
DIL;Daughter-In-Law
DILF;Dad I'd Like to Fuck
DILIGAF;Do I Look like I Give A Fuck?
DILLIC;Does It Look Like I Care
DILLIGAD;Do I Look Like I Give A Darn?
DILLIGAF;Do I Look Like I Give A Fuck?
DILLIGAS;Do I Look Like I Give A Shit
DING;Just hit new level in RPG
DINGBAT;stupid person
DINK;Dual Income No Kids
DIP;Leave
DIPPED;Fashionable
DIS;Did I Say
DISO;Desperately In Search Of
DISS;Disrespect
DISSING;Being disrespectful
DISTRO;Distribution
DIT;Details In Thread
DITD;sad
DITTO;the same
DITZY;Acting dumb and innocent
DIV;Stupid person
DIVA;Talented and arrogant female performer
DIY;Do It Yourself
DIZZY;Crazy
DIZZY;Mad
DJM;Don't Judge Me
DK;Don't Know
DKDC;Don't Know, Don't Care
DKFS;Don't Know For Sure
DKM;Don't Kill Me
DKP;Dragon Kill Points
DLAM;Don't Laugh At Me
DLC;Downloadable Content
DLS;Dirty Little Secret
DLTBBB;Don't Let The Bed Bugs Bite
DLTM;Don't Lie To Me
DLV;Demonstration of Lower Value
DMAF;Don't Make A Fuss
DMAL;Drop Me A Line
DMB;Dave Matthews Band
DMC;Deep Meaningful Conversation
DMCA;Digital Millennium Copyright Act
DMF;Dumb Mother Fucker
DMG;Damage
DMI;Don't Mention It
DMIID;Don't Mind If I Do
DMN;Damn
DMTA;Dirty Minds Think Alike
DMV;Department of Motor Vehicles
DMW;Dead Man Walking
DMX;Dark Man X
DMY;Don't Mess Yourself
DN;Doing Nothing
DNC;Democratic National Committee
DND;Do Not Disturb
DNDC;Don't Know, Don't Care
DNFD;Do Not Fucking Disturb
DNFTT;Do Not Feed The Troll
DNK;Do Not Know
DNO;Don't Know
DNPM;Darn Near Peed Myself
DNR;Do Not Resuscitate
DNT;Don't
DNW;Do Not Want
DOB;Date Of Birth
DOBE;Idiot
DOC;Doctor
DOD;Day of Defeat
DOE;Depends On Experience
DOF;Depth of Field
DOGGING;Sex in public with strangers
DOI;Duh
DOKE;Diet Coke
DOL;Dying Of Laughter
DOME;Blow job, head
DOMO;Thank you
DON;Mafia boss
DONK;Large bottom
DONNO;I don't know
DOOD;Dude
DOOFUS;Stupid person
DOOM;Classic FPS
DORB;Adorable
DORK;socially inept person
DOSH;Money
DOSHA;Marijuana
DOTA;Defence Of The Ancients
DOUCHE;Idiot
DOUCHE BAG;asshole
DOUGH;Money
DOWNS;Down-Syndrome
DP;Display Picture
DPMO;Don't Piss Me Off
DPS;Damage Per Second
DPYN;Don't Pick Your Nose
DQ;Disqualified
DQYDJ;Don't Quit Your Day Job
DR;Double Rainbow
DRB;Dirty Rotten Bastard
DRM;Digital Rights Management
DRO;HyDROponically grown marijuana
DRT;Dead Right There
DS;Darling Son
DSD;Do Some Damage
DSLS;Dick Sucking Lips
DSS;Department of Social Services
DT;Down Town
DTA;Don't Trust Anyone
DTB;Don't Text Back
DTC;Down To Cuddle
DTE;Down To Earth
DTF;Down To Fuck
DTMFA;Dump The Mother Fucker Already
DTP;Disturbing The Peace
DTR;Define The Relationship
DTRT;Do The Right Thing
DTT;Don't Touch That
DTTM;Don't Talk To Me
DTYT;Don't Take Your Time
DU JOUR;Of the day
DUB;Twenty
DUBS;Twenty inch wheels
DUCES;Goodbye
DUCWIC;Do You See What I See?
DUCY;Do you see why?
DUDETTE;Female dude
DUGS;Breasts
DUH;Of course
DUI;Driving Under the Influence
DULM;Do You Love Me?
DUNNO;Don't Know
DUPE;Duplicate
DURS;Damn You Are Sexy
DUS;Does
DUSTY;Ugly
DVDRIP;Video copied from a DVD
DW;Don't Worry
DWAI;Don't Worry About It
DWBH;Don't Worry, Be Happy
DWBI;Don't Worry 'Bout It
DWEEB;nerd
DWF;Divorced White Female
DWI;Deal with it
DWISNWID;Do What I Say Not What I Do
DWL;Dying With Laughter
DWM;Divorced White Male
DWP;Drunk While Posting
DWT;Driving While Texting
DWTS;Dancing With The Stars
DWU;Don't Wait Up
DXC;deathcore
DYHWIH;Do You Hear What I Hear?
DYJ;do your job
DYJHIW;Don't You Just Hate It When 
DYK;Did You Know
DYKE;Lesbian
DYKWIM;Do You Know What I Mean?
DYLM;Do You Love/Like Me?
DYOR;Do Your Own Research
DZ;Drop Zone
E&OE;Errors and omissions excluded
E-DATING;Online dating
E-PEEN;Online ego
E2EG;Ear To Ear Grin
EABOD;Eat A Bag Of Dicks
EAD;Eat A Dick
EB;Eyeball
EBCAK;Error Between Chair And Keyboard
ECCHI;Softcore Hentai
ECO;Ecological
ECT;etc
ECW;Extreme Championship Wrestling
ED;Erectile Dysfunction
EDD;Estimated Delivery Date
EDDRESS;Email address
EDJ;Energy Drink Junkie
EDM;Electronic Dance Music
EEG;Extremely Evil Grin
EF;fuck
EFA;Edited For Accuracy
EFF;fuck
EFFIN;fucking
EFG;Epic Fail Guy
EGL;Elegant Gothic Lolita
EH;What?
ELE;Everybody Love Everybody
ELF;Every Lady's Fantasy
ELLO;Hello
ELOL;Evil lol
EMA;E-mail Address
EMAW;Every Man a Wildcat
EMFDYSI;English, Mother Fuckker! Do You Speak It?
EMO;Emotional
EMS;Emergency Medical Service
ENDZ;Area where you live
ENE;Northerner
ENNIT;Expression of agreement
ENO;Awesome, cool
ENT;Isn't
EOB;End Of Business
EOC;End Of Conversion
EOD;End Of Discussion
EOE;Equal Opportunity Employer
EOF;End Of File
EOG;End Of Grade
EOL;End Of Lecture
EOM;End Of Message
EOR;End Of Rant
EOS;End Of Show
EOT;End Of Thread
EOTW;End Of The World
EOTWAWKI;End Of The World As We Know It
EP;Extended Play
EPIC;Extremely awesome
EPIN;Epic Win
EQ;EverQuest
EQE;Easy Quick Efficient
ERB;Marijuana
ERK;Annoy
ERM;Awkward conversation filler
ERP;Erotic Role-Play
